              case    fx    fy        |dr|        |dv|   sd_late_a   sd_late_b   verdict
  config_stability  0.12  0.12    1.120e-2     0.000e0    1.926e-3    1.896e-3      live
  config_stability  0.12  0.38    1.283e-2   8.442e-17    3.334e-4    3.240e-4      live
  config_stability  0.12  0.62    1.430e-2     0.000e0    9.691e-3    4.886e-1      live
  config_stability  0.12  0.88    1.553e-2     0.000e0    3.593e-1    4.069e-1      live
  config_stability  0.38  0.12    1.197e-2     0.000e0    3.840e-4    3.429e-4      live
  config_stability  0.38  0.38    1.371e-2   8.442e-17    8.585e-5    7.696e-5      live
  config_stability  0.38  0.62    1.528e-2     0.000e0    1.785e-2    2.583e-2      live
  config_stability  0.38  0.88    1.659e-2   8.442e-17    2.657e-2    2.417e-2      live
  config_stability  0.62  0.12    1.217e-2   8.442e-17    1.684e-4    1.317e-4      live
  config_stability  0.62  0.38    1.393e-2     0.000e0    5.224e-1    1.692e-2      live
  config_stability  0.62  0.62    1.553e-2     0.000e0    6.516e-3    5.750e-3      live
  config_stability  0.62  0.88    1.687e-2   8.442e-17    4.526e-1    6.271e-2      live
  config_stability  0.88  0.12    1.176e-2     0.000e0    1.115e-2    1.356e-2      live
  config_stability  0.88  0.38    1.347e-2     0.000e0    2.358e-1    2.293e-1      live
  config_stability  0.88  0.62    1.501e-2     0.000e0    3.790e-3    3.875e-3      live
  config_stability  0.88  0.88    1.630e-2     0.000e0    1.815e-4    1.832e-4      live
      config_basin  0.12  0.12    6.318e-4     0.000e0    4.166e-2    4.168e-2      live
      config_basin  0.12  0.38    6.319e-4     0.000e0    4.085e-2    4.087e-2      live
      config_basin  0.12  0.62    6.321e-4   6.512e-17    3.991e-2    3.994e-2      live
      config_basin  0.12  0.88    6.322e-4   6.512e-17    3.894e-2    3.896e-2      live
      config_basin  0.38  0.12    6.389e-4     0.000e0    4.224e-2    4.227e-2      live
      config_basin  0.38  0.38    6.391e-4   6.512e-17    4.142e-2    4.144e-2      live
      config_basin  0.38  0.62    6.393e-4   6.512e-17    4.047e-2    4.050e-2      live
      config_basin  0.38  0.88    6.394e-4     0.000e0    3.949e-2    3.951e-2      live
      config_basin  0.62  0.12    6.461e-4   6.512e-17    4.285e-2    4.288e-2      live
