256^2, arm set `all`, shared colour windows, max_steps=400000, refine_flagged=false.

  **The UNMASKED kernel.** The repair pass re-integrates from t = 0, has no live
  analogue, and removes the population this comparison is about.

  **Arms are matched on FORCE EVALUATIONS, not steps.** RK4 spends 4 per step and KDK 1,
  so the leapfrog arms run at eta/4. That is a NOMINAL match: the predictive limit is an
  absolute bound, not an `eta` multiple, so it binds less at smaller `eta` and the step
  count lands below 4x. **Read each row at the evaluations it actually spent.**

  `rho/gamma` is each occupant's own regularised-Hamiltonian residual and is NOT one
  quantity across the table: AZ's is |Gamma|/largest term, Heggie's the same for Gamma*,
  logH's |K+B-U|/U -- which is the energy defect normalised by U, not an independent
  constraint. Compare it down a column, never across one.


                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
    config_stability              az   4.210e-8   1.434e-3    2.731e0    424    1.262e5    5.050e5      1      1      0 0.0068   372.0
    config_stability          heggie  9.033e-10   6.477e-7    1.000e0      0    1.536e5    6.146e5      1      1      0 0.0068   581.3
                              heggie   gain_vs_az: p10 +0.05  p50 +1.67  p90 +4.21  frac better 0.9075  n 65534
    config_stability        logh_rk4   5.314e-8   3.659e-6    1.003e0      8    1.532e5    6.128e5      6      6      0 0.0068   601.7
                            logh_rk4   gain_vs_az: p10 -1.37  p50 -0.21  p90 +2.38  frac better 0.4471  n 65529
                            logh_rk4   gain_vs_heggie: p10 -2.48  p50 -1.75  p90 -0.92  frac better 0.0040  n 65530
    config_stability  logh_rk4_nolim   1.584e-1    2.194e3    7.422e6  42264    1.234e5    4.935e5     97     97      0 0.0102   419.7
                      logh_rk4_nolim   gain_vs_az: p10 -9.45  p50 -5.89  p90 -1.12  frac better 0.0275  n 65438
                      logh_rk4_nolim   gain_vs_heggie: p10 -10.94  p50 -7.94  p90 -3.51  frac better 0.0000  n 65438
    config_stability         logh_lf   1.461e-5   3.468e-4    1.724e0     39    4.860e5    4.860e5      6      6      0 0.0068   942.2
                             logh_lf   gain_vs_az: p10 -3.86  p50 -2.50  p90 -0.07  frac better 0.0931  n 65529
                             logh_lf   gain_vs_heggie: p10 -5.31  p50 -4.05  p90 -2.96  frac better 0.0000  n 65529
    config_stability   logh_lf_nolim   4.269e-5   2.263e-2    7.520e1   2649    4.787e5    4.787e5      0      0      5 0.0068   802.2
                       logh_lf_nolim   gain_vs_az: p10 -4.66  p50 -2.90  p90 -0.58  frac better 0.0471  n 65535
                       logh_lf_nolim   gain_vs_heggie: p10 -6.06  p50 -4.57  p90 -3.18  frac better 0.0000  n 65535
    config_stability       plain_rk4    8.351e2    7.886e6   2.753e10  56199    1.000e5    4.000e5      0      0      0 0.6611   311.7
                           plain_rk4   gain_vs_az: p10 -12.45  p50 -10.04  p90 -3.75  frac better 0.0000  n 65535
                           plain_rk4   gain_vs_heggie: p10 -13.99  p50 -11.85  p90 -5.77  frac better 0.0000  n 65535
    config_stability        plain_lf    2.758e2    5.650e6   1.893e10  47012    4.000e5    4.000e5      0      0      0 0.3389   509.4
                            plain_lf   gain_vs_az: p10 -12.25  p50 -8.71  p90 -1.72  frac better 0.0121  n 65535
                            plain_lf   gain_vs_heggie: p10 -13.88  p50 -11.13  p90 -3.79  frac better 0.0000  n 65535

                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
          near-field              az  6.446e-11  1.087e-10    1.000e0      0    7.050e4    2.820e5      0      0      0 0.0000   224.4
          near-field          heggie  1.451e-11  1.665e-11    1.000e0      0    4.448e4    1.779e5      0      0      0 0.0000   162.4
                              heggie   gain_vs_az: p10 -0.46  p50 +0.71  p90 +0.82  frac better 0.6656  n 65536
          near-field        logh_rk4   1.795e-9   2.802e-9    1.000e0      0    4.415e4    1.766e5      0      0      0 0.0000   160.7
                            logh_rk4   gain_vs_az: p10 -2.54  p50 -1.54  p90 -1.12  frac better 0.0000  n 65536
                            logh_rk4   gain_vs_heggie: p10 -2.27  p50 -2.11  p90 -1.90  frac better 0.0000  n 65536
          near-field  logh_rk4_nolim   3.226e-7    3.053e0    1.640e5   3060    3.288e4    1.315e5      0      0      0 0.0017   113.1
                      logh_rk4_nolim   gain_vs_az: p10 -6.14  p50 -3.75  p90 -3.48  frac better 0.0000  n 65536
                      logh_rk4_nolim   gain_vs_heggie: p10 -5.71  p50 -4.39  p90 -3.90  frac better 0.0000  n 65536
          near-field         logh_lf   1.260e-6   4.052e-6    1.003e0      0    1.316e5    1.316e5      0      0      0 0.0000   270.7
                             logh_lf   gain_vs_az: p10 -5.78  p50 -4.32  p90 -3.95  frac better 0.0000  n 65536
                             logh_lf   gain_vs_heggie: p10 -5.33  p50 -4.97  p90 -4.76  frac better 0.0000  n 65536
          near-field   logh_lf_nolim   1.250e-6   6.992e-5    3.237e0    511    1.287e5    1.287e5      0      0      0 0.0000   246.1
                       logh_lf_nolim   gain_vs_az: p10 -6.00  p50 -4.32  p90 -3.93  frac better 0.0000  n 65536
                       logh_lf_nolim   gain_vs_heggie: p10 -5.48  p50 -4.96  p90 -4.75  frac better 0.0000  n 65536
          near-field       plain_rk4    1.486e2    7.281e5   4.570e10  65536    2.640e4    1.056e5      0      0      0 0.9938    84.3
                           plain_rk4   gain_vs_az: p10 -14.10  p50 -12.66  p90 -11.74  frac better 0.0000  n 65536
                           plain_rk4   gain_vs_heggie: p10 -14.19  p50 -13.01  p90 -12.29  frac better 0.0000  n 65536
          near-field        plain_lf    9.576e1    2.063e4    1.364e9  65536    1.056e5    1.056e5      0      0      0 0.9801   145.0
                            plain_lf   gain_vs_az: p10 -13.33  p50 -12.33  p90 -11.73  frac better 0.0000  n 65536
                            plain_lf   gain_vs_heggie: p10 -13.13  p50 -12.82  p90 -12.23  frac better 0.0000  n 65536

                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
                 far              az  2.824e-13  3.452e-13    1.000e0      0    9.880e4    3.952e5      0      0      0 0.0000   170.4
                 far          heggie  2.189e-12  2.233e-12    1.000e0      0    5.920e4    2.368e5      0      0      0 0.0000   120.8
                              heggie   gain_vs_az: p10 -0.93  p50 -0.89  p90 -0.84  frac better 0.0000  n 65536
                 far        logh_rk4   3.271e-9   4.933e-9    1.001e0      0    5.914e4    2.365e5      0      0      0 0.0000   119.6
                            logh_rk4   gain_vs_az: p10 -4.17  p50 -4.06  p90 -3.95  frac better 0.0000  n 65536
                            logh_rk4   gain_vs_heggie: p10 -3.27  p50 -3.17  p90 -3.07  frac better 0.0000  n 65536
                 far  logh_rk4_nolim    6.797e0    1.909e1    7.700e5  65536    4.596e4    1.838e5      3      3      0 0.0000    91.3
                      logh_rk4_nolim   gain_vs_az: p10 -13.57  p50 -13.38  p90 -13.16  frac better 0.0000  n 65533
                      logh_rk4_nolim   gain_vs_heggie: p10 -12.67  p50 -12.49  p90 -12.27  frac better 0.0000  n 65533
                 far         logh_lf   4.709e-7   4.752e-7    1.002e0      0    1.481e5    1.481e5      0      0      0 0.0000   179.9
                             logh_lf   gain_vs_az: p10 -6.27  p50 -6.22  p90 -6.18  frac better 0.0000  n 65536
                             logh_lf   gain_vs_heggie: p10 -5.34  p50 -5.33  p90 -5.33  frac better 0.0000  n 65536
                 far   logh_lf_nolim   4.362e-7   4.954e-7    1.000e0      0    1.282e5    1.282e5      0      0      0 0.0000   148.0
                       logh_lf_nolim   gain_vs_az: p10 -6.25  p50 -6.19  p90 -6.14  frac better 0.0000  n 65536
                       logh_lf_nolim   gain_vs_heggie: p10 -5.34  p50 -5.30  p90 -5.28  frac better 0.0000  n 65536
                 far       plain_rk4    3.165e2    4.200e9   1.339e15  65536    2.640e4    1.056e5      0      0      0 0.9864    85.9
                           plain_rk4   gain_vs_az: p10 -18.85  p50 -15.05  p90 -14.38  frac better 0.0000  n 65536
                           plain_rk4   gain_vs_heggie: p10 -17.96  p50 -14.16  p90 -13.49  frac better 0.0000  n 65536
                 far        plain_lf    3.130e5    2.741e6   1.056e10  65536    1.056e5    1.056e5      0      0      0 1.0000   150.7
                            plain_lf   gain_vs_az: p10 -18.64  p50 -18.04  p90 -17.62  frac better 0.0000  n 65536
                            plain_lf   gain_vs_heggie: p10 -17.75  p50 -17.16  p90 -16.73  frac better 0.0000  n 65536

                case             arm  drift p50  drift p99    err p99 err>10  steps p50  evals p50 nonfin budget   over escape    secs
       deep_interior              az   1.345e-9   7.850e-5    1.766e0    434    2.374e5    9.497e5     42     42      0 0.0000   569.2
       deep_interior          heggie  9.243e-10   3.962e-7    1.001e0      1    1.165e5    4.661e5    199    199      0 0.0000   319.7
                              heggie   gain_vs_az: p10 -1.15  p50 +0.15  p90 +1.24  frac better 0.5723  n 65328
       deep_interior        logh_rk4   2.641e-8   1.646e-5    1.054e0    118    1.162e5    4.648e5    208    208      0 0.0000   321.8
                            logh_rk4   gain_vs_az: p10 -2.33  p50 -1.35  p90 -0.55  frac better 0.0559  n 65318
                            logh_rk4   gain_vs_heggie: p10 -2.18  p50 -1.49  p90 -0.68  frac better 0.0169  n 65326
