### PRE-FIX PREVIEW, AND INCOMPLETE. READ THE HEADER BEFORE ANY NUMBER.
###
### This is `near-field` only. The run was STOPPED after that region for two reasons, both
### recorded rather than tidied away:
###
###   1. The table below is sorted by |blocked rho| and prints only the top 60 of 162 rows --
###      sorted by the scale-free statistic while the OPERATIONAL one decides, and hiding rows.
###      `lay_w_perimeter` beating breadth-first was visible by luck. The example now prints
###      every row sorted by error(B) and counts how many beat uniform per budget.
###   2. A suspected upstream artefact (RESULTS §21) had to be settled before anything was
###      built on these numbers.
###
### §21 settled it: `near-field` is BITWISE UNAFFECTED by the sync-cadence artefact at every
### escape-test stride, because its escape arm is silent at t = 13 and it terminates by
### collision. So the near-field findings here stand -- monotone DP labels, the blocked-rho
### sign flip on `spread_median`, ftle carrying information in the right direction, and
### `lay_w_perimeter` at 0.07605 against uniform's 0.08480 and dp's 0.07025 at B = 6143.
###
### `deep interior` and the latent charts are NOT covered here and ARE affected -- the finer
### cadence re-labels half of `deep interior` from collision to escape. Kept as the "before".
###
    Finished `release` profile [optimized] target(s) in 0.08s
     Running `target/release/examples/signal_audit 7 8 1e-4 13 /private/tmp/claude-501/-Users-malachy-src-principia-rs-test/116aa3fe-f502-40a0-b6f8-c40769726fb9/scratchpad/sa_full`
complete tree to level 7, N=8, E+1=8, res 1024^2, tau=1e-4, t=13 n_sync=32, f64, FTLE dt=1e-4 (130000 leapfrog steps/footprint)
21845 quads per region, 5461 splits at the full tree
label ladder B = [169, 681, 2729, 10921]   (labels are the DP optimum's own split decisions)

=== near-field === built in 3941.6s; error(root)=0.20192

  [1] total_substeps per quad, BY LEVEL. Every quad carries the same N^2 x (E+1)
      trajectories whatever its level, so a deep quad lying wholly inside a
      collision zone is all-hot where the root averages the region -- the spread
      should widen with depth, and a pooled row would hide it.
  level    quads           p1          p50          p99          max     p99/p1
      0        1     1.9427e6     1.9427e6     1.9427e6     1.9427e6     1.0000
      1        4     1.9118e6     1.9661e6     2.0231e6     2.0231e6     1.0582
      2       16     1.8673e6     1.9551e6     2.0360e6     2.0360e6     1.0903
      3       64     1.7924e6     1.9748e6     2.0436e6     2.0456e6     1.1402
      4      256     1.5759e6     1.9810e6     2.0454e6     2.0483e6     1.2979
      5     1024     1.5394e6     1.9827e6     2.0470e6     2.0500e6     1.3297
      6     4096     1.4833e6     1.9843e6     2.0470e6     2.0503e6     1.3800
      7    16384     1.4829e6     1.9851e6     2.0473e6     2.0508e6     1.3806
 pooled    21845     1.4831e6     1.9849e6     2.0472e6     2.0508e6     1.3804   <- POOLED over levels; the two framings answer different questions

  [2] LABEL STABILITY. A quad not in the optimal tree was never decided, so it is
      absent rather than labelled `keep`. Churn is over SHARED quads only -- a quad
      present at one budget and not the other has not changed its decision, and
      counting it folds the tree's growth into a statistic about its stability.
       B    in tree    split     keep    shared     flips      0->1      1->0
     169        169       42      127         0         0         0         0
     681        681      170      511       169        91        91         0
    2729       2729      682     2047       681       241       241         0
   10921      10921     2730     8191      2729      1049      1049         0

      flips between the first and last ladder rungs, by level:
  level    shared      0->1      1->0
      0         1         0         0
      1         4         0         0
      2        16         1         0
      3        60        37         0
      4        88        87         0

      table -> /private/tmp/claude-501/-Users-malachy-src-principia-rs-test/116aa3fe-f502-40a0-b6f8-c40769726fb9/scratchpad/sa_full/audit/signal_audit_near-field.tsv (21845 rows x 54 signal columns)

  [3] SPEARMAN against the DP label, per budget, with error(B) beside it.
      High rho with poor error(B) says the signal is worth RESCALING; low both
      says worth DROPPING. Nothing in the corpus could tell those apart.
      `distinct` and `modal%` decide what a flat error row means -- a bad ordering
      and NO ordering give the same curve. `nan%` is a property to read, not a
      defect to hide.
      `blk` is BLOCKED BY LEVEL and `pool` is not. Read `blk`. `level` itself
      scores |rho| = 0.99 pooled -- the optimum splits shallow quads -- so the
      pooled column is largely a picture of depth and every signal tracking cell
      width inherits it. Rows are sorted by |blk|.
                    signal distinct  modal%   nan%  blk169  blk681 blk2729 blk10921 | pool169 pool681 pool2729 pool10921  |       23       95      383     1535     6143    21845
     first_divergence/cost    1108    94.9   94.9   0.732   0.292   0.089  -0.034 |  -0.126  -0.155  -0.139  -0.095  |  0.16395  0.15367  0.14960  0.12656  0.08590  0.00000
 contrast:first_divergence       4    94.9   94.9  -0.447  -0.601  -0.567  -0.515 |   0.042  -0.130  -0.063  -0.055  |  0.16384  0.16354  0.14778  0.12655  0.08589  0.00000
   contrast:t_end_gradient     425    97.4   97.4     NaN   0.460   0.114   0.207 |   0.539   0.251   0.122   0.099  |  0.14813  0.14178  0.13962  0.11236  0.08439  0.00000
          first_divergence       4    94.9   94.9   0.447   0.294   0.187   0.251 |   0.038   0.077  -0.035   0.023  |  0.15544  0.14963  0.14735  0.12653  0.08590  0.00000
frac_above_tau_within/cost   21233     1.3    0.0  -0.285  -0.272  -0.264  -0.405 |   0.014   0.107   0.342   0.545  |  0.16396  0.16381  0.16318  0.15950  0.13695  0.00000
          lay_w_n_hot/cost   21233     1.3    0.0  -0.285  -0.272  -0.264  -0.405 |   0.014   0.107   0.342   0.545  |  0.16396  0.16381  0.16318  0.15950  0.13695  0.00000
        lay_w_largest/cost   21239     1.3    0.0  -0.285  -0.272  -0.256  -0.402 |   0.013   0.107   0.348   0.516  |  0.16396  0.16381  0.16318  0.15950  0.13695  0.00000
       layrel_w_n_hot/cost   19710     0.0    0.0  -0.160  -0.207  -0.225  -0.382 |   0.058   0.030   0.008   0.004  |  0.16396  0.16381  0.16310  0.15954  0.13875  0.00000
           cell_width/cost   20513     0.0    0.0  -0.160  -0.207  -0.213  -0.378 |   0.620   0.609   0.475   0.667  |  0.14813  0.13544  0.12403  0.10941  0.08509  0.00000
       layrel_b_n_hot/cost   19707     0.0    0.0  -0.160  -0.207  -0.213  -0.378 |   0.058   0.024   0.016   0.005  |  0.16396  0.16381  0.16310  0.15954  0.13875  0.00000
                level/cost   20513     0.0    0.0  -0.160  -0.207  -0.213  -0.378 |  -0.626  -0.638  -0.485  -0.678  |  0.16396  0.16380  0.16303  0.15902  0.13065  0.00000
            total_substeps   19707     0.0    0.0   0.160   0.207   0.213   0.378 |  -0.058  -0.024  -0.016  -0.005  |  0.16448  0.16393  0.16180  0.15234  0.10826  0.00000
   lay_b_n_components/cost   19674     0.2    0.0  -0.160  -0.207  -0.213  -0.378 |   0.058   0.024   0.013   0.001  |  0.16396  0.16381  0.16310  0.15954  0.13875  0.00000
      error_ratio_max/cost   21843     0.0    0.0  -0.179  -0.205  -0.200  -0.357 |   0.113   0.038   0.019   0.004  |  0.16394  0.16370  0.15765  0.15307  0.13892  0.00000
contrast:worst_energy_drift   15196     0.0    0.0  -0.150  -0.137  -0.196  -0.339 |   0.322   0.289   0.216   0.232  |  0.16394  0.16358  0.14926  0.13500  0.09725  0.00000
frac_above_tau_between/cost   20672     0.2    0.0  -0.157  -0.210  -0.204  -0.338 |   0.066   0.055   0.076   0.087  |  0.16396  0.16381  0.16310  0.15955  0.13877  0.00000
        lay_b_largest/cost   20672     0.2    0.0  -0.157  -0.210  -0.204  -0.338 |   0.066   0.055   0.076   0.088  |  0.16396  0.16381  0.16310  0.15955  0.13877  0.00000
          lay_b_n_hot/cost   20672     0.2    0.0  -0.157  -0.210  -0.204  -0.338 |   0.066   0.055   0.076   0.087  |  0.16396  0.16381  0.16310  0.15955  0.13877  0.00000
  contrast:error_ratio_max   15992     0.0    0.0  -0.147  -0.135  -0.202  -0.311 |   0.153   0.128  -0.008  -0.142  |  0.16394  0.16369  0.16270  0.13594  0.10334  0.00000
